date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2022-02-03,0.42666258861911044,3.0,0.3278688524590164,1.2938117243382304e-10,0.9999999998696188,1,1.6868866091750016e-20,0.9803921568627451,1.0,1e-06,1.0,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-04,0.39733828972959406,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,1.0,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-07,0.3510869565217392,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,1.0,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-08,0.3517425810904072,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,1.0,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-09,0.37635830353221666,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,1.0,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-10,0.4111064056716231,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,1.0,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-11,0.37159012485099446,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,0.5052405033821357,Utsuroi,1e-06,0.9803921568627451,1.0,0
2022-02-14,0.39233170211431084,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Utsuroi,1e-06,0.9803921568627451,1.0,0
2022-02-15,0.40380513206600166,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.6211222129408731,Katashi,1e-06,0.9803921568627451,1.0,0
2022-02-16,0.37707353033439994,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,0.5052405033821357,Utsuroi,1e-06,0.9803921568627451,1.0,0
2022-02-17,0.3167858711336972,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Utsuroi,1e-06,0.9803921568627451,1.0,0
