t,Xi,eta,entropy,dominance,_degenerate,Oh,phi
2026-01-10,8.56300566567095,4.78662099520842,1.5927843180738477,0.4855377103167734,False,1.0884607887418314,0.007076863099346511
2026-01-11,8.677129600455213,4.802597973657502,1.5557582606713898,0.4970178338766394,False,1.1029673105076168,0.015101942046975457
2026-01-12,8.739605657735243,4.801571803677274,1.5672317974956806,0.4976139757923345,False,1.110908767192286,0.023521585160949068
2026-01-13,9.084617743784262,4.842083670721312,1.5004142200219528,0.5276986875643325,False,1.1547639439804884,0.035197053124559674
2026-01-14,8.615442527984122,4.782780500443819,1.606724424053323,0.4849700702803627,False,1.0951261432611394,0.04175123299171404
2026-01-15,8.901103246549697,4.823300607167091,1.533929722874289,0.5105021688729807,False,1.1314370489386825,0.05101365991705722
2026-01-16,8.686248126006817,4.7948186802722255,1.5821728684882395,0.49028030575010634,False,1.1041263845409146,0.05781336088281867
2026-01-17,9.242725875437568,4.865553267115666,1.4999696896022023,0.5480403490704095,False,1.1748613850432428,0.07006787085979353
2026-01-18,9.283819786115426,4.868165992472651,1.497207097133251,0.5498851391934291,False,1.1800849142776362,0.08237262787621062
2026-01-19,9.106738379101404,4.848717885925039,1.509444903126075,0.5306601583017087,False,1.1575757422093853,0.09250750841667513
2026-01-20,9.1604309181941,4.862486963042722,1.467968407437588,0.5374981971058092,False,1.164400708317335,0.10288433982956167
2026-01-21,9.245832298744007,4.868826115159372,1.4540485046220586,0.5404327789643955,False,1.17525624872713,0.11381830953284523
2026-01-22,9.411081664453251,4.888242000152681,1.4090176717906817,0.5528684593633708,False,1.1962614263436833,0.12610467435435452
2026-01-23,7.9245563736425115,4.711524605910935,1.6765459617207563,0.40848682710153783,False,1.0073062213965243,0.12290603183544581
2026-01-24,8.06248103436585,4.736762884371869,1.635589047098736,0.41688049559428186,False,1.0248381010728076,0.12120589896620704
2026-01-25,7.934723127362278,4.718956428048253,1.6590558875122714,0.40687341232638524,False,1.008598537810272,0.11825760502204258
2026-01-26,8.681245120674776,4.799529440353288,1.5595231918957981,0.48891576340480236,False,1.1034904425198058,0.12298911227296576
2026-01-27,8.510136155730514,4.776533186947448,1.5837960827783364,0.46904347834921034,False,1.0817404395166914,0.1258386740661121
2026-01-28,8.537112421675559,4.77457228332594,1.6138888958026356,0.4707680713953292,False,1.0851694466730881,0.1288770695779758
2026-01-29,8.564919150896102,4.781875193682142,1.5991227134930586,0.4750775024434121,False,1.088704015678579,0.13210707874492283
2026-01-30,8.39035147495524,4.7657246895657455,1.6094891860308158,0.45428444180785355,False,1.0665143689981889,0.13346501590243023
2026-01-31,8.385082039489212,4.765840886821108,1.6102505239015699,0.4522794488110491,False,1.0658445605094975,0.13472863026611712
2026-02-01,8.223995550004243,4.748508720003686,1.6288283192726967,0.43586414796922723,False,1.0453685344216737,0.1343162541118675
