,value
tau_Katashi_max,20.0
tau_Katashi_mean,2.061224489795918
eta_Katashi,0.5771273204855332
Xi_Katashi,0.40594059405940597
nu_s,8.20983934775195
phi_integral,24.12737487703892
phi_max,0.2939591882688758
phi_star,0.2341977907862332
frac_Katashi,0.06792199058507062
frac_Nagare,0.0
frac_Utsuroi,0.9320780094149294
PR,0.8295498480092437
