layer,head,n,mean_fact,mean_hallu,abs_diff,p_value
30,21,40,0.04867067963952083,0.04887233637503237,0.0009329958345139257,0.36465922939709683
29,12,40,0.020359102040900395,0.021227054801234196,0.0009273922124168638,8.276747628393828e-06
31,13,40,0.04255206963234903,0.0433867118427033,0.0009267178871445025,8.615980684297864e-06
30,12,40,0.042466893867852455,0.04169789236849786,0.0009084115396201665,8.590505504531948e-06
29,15,40,0.023607108288424952,0.024427598871226152,0.0009012216771145806,1.038742849291469e-05
29,6,40,0.021799819073245998,0.022682712225707773,0.0008875239421054176,6.662068546868346e-09
29,24,40,0.024764314366845445,0.025557930363796177,0.0008816675937733606,6.029471440339799e-06
29,14,40,0.02007459735270044,0.0207698904392049,0.0008590378016569486,0.000996029862933055
29,3,40,0.021675265830249694,0.022440830982308205,0.0008053824992032374,4.027781987555584e-06
30,7,40,0.025998289858586966,0.02664814865653946,0.0007885574921512175,0.0001891483917119833
30,31,40,0.04224712682249108,0.04294896565856179,0.0007702313881363168,3.3540745700434707e-06
29,13,40,0.020310777027202336,0.02080052025235037,0.0007664512823311462,0.0032732853373383265
29,7,40,0.019352005172926585,0.02006820900576251,0.0007584090161896021,4.215928561897739e-08
31,19,40,0.03315233328805565,0.03383236267184938,0.000734986074530718,9.967674741910844e-06
30,29,40,0.03863005000664997,0.038032502606608606,0.0007314129720836673,3.694311421489521e-05
29,20,40,0.04139334499125728,0.04095597531035462,0.0007280273962188301,0.0037718191584300764
30,14,40,0.04897091279374695,0.04863573093928864,0.000692589142058273,0.037100918732616506
31,30,40,0.0511378151747295,0.051110318353937846,0.0006882564564460291,0.8553994724848474
30,15,40,0.045488284260969306,0.04508233107955147,0.0006824116197734062,0.005198458120175731
31,21,40,0.042367466096721526,0.04185844193659713,0.0006699894787010205,0.0003553042283904493
29,22,40,0.037425823199659945,0.037623071224671525,0.0006666887120940271,0.21003661407903818
29,21,40,0.04110136976054518,0.040749621631657726,0.0006075488670294688,0.01189104801245905
31,20,40,0.04462125382480369,0.04428100120026548,0.000574352848696755,0.007035798061347756
30,11,40,0.04600121883999754,0.045822152536310896,0.0005718022848268493,0.15766824535721988
31,17,40,0.027572096872405305,0.028064046462072462,0.0005705017954414816,2.0615372314113384e-06
31,16,40,0.032160977365253564,0.032239759412091604,0.0005318322551085312,0.512098991384629
30,3,40,0.031412801757906186,0.03145500308771807,0.00042120871334668495,0.6491198861999377
29,2,40,0.02478855575883673,0.024970841075748675,0.0003594567294183485,0.05602733923005414
