t,Xi,eta,entropy,dominance,_degenerate,Oh,phi
2026-01-10,8.34962777274303,4.759950240832545,1.6124223568526013,0.4570007932152654,False,1.1306155625625598,0.010449245005004784
2026-01-11,8.65703892727219,4.789252541222873,1.5919778523642656,0.4903628594311453,False,1.1722418296101278,0.023915114023664863
2026-01-12,8.540228230310005,4.780867120627686,1.582412800927286,0.4759902496504746,False,1.1564245985366235,0.0357116284858848
2026-01-13,8.787710381176845,4.812624188204355,1.5406636636600144,0.4997311781298601,False,1.1899359332741937,0.04983515429324374
2026-01-14,8.724287258995181,4.802649733222741,1.5407345359555964,0.4842403904456811,False,1.1813478655283498,0.06284792890671441
2026-01-15,8.972796884537999,4.833620065981289,1.4846380381183237,0.5066942222662743,False,1.21499832968467,0.07816235741428658
2026-01-16,8.351416137820877,4.789487684860944,1.515809388738274,0.43337991118196023,False,1.1308577234640502,0.086286104568982
2026-01-17,8.407477839154021,4.786738018501502,1.5382341999943896,0.44580438109954784,False,1.1384489878552486,0.09477344046033244
2026-01-18,8.371785813345765,4.790529062153253,1.5174526837089808,0.43782124140886014,False,1.1336159628466451,0.10261951427425407
2026-01-19,8.1593887877981,4.7534967851757415,1.5871884369036366,0.42409622809996905,False,1.1048554732700784,0.10792936670763272
2026-01-20,8.033301273403119,4.740038347330396,1.6096300507630907,0.4085782297568127,False,1.0877820767187776,0.11171405184390594
2026-01-21,7.888403052707346,4.734192398649201,1.5929866172428466,0.3913001633811642,False,1.0681615394008073,0.11381555344065335
2026-01-22,8.020083827857826,4.736711340317122,1.6026404405647519,0.4077991997870104,False,1.0859923143440267,0.11728047198495588
2026-01-23,7.710746583181984,4.694481048603439,1.6802487362020746,0.37719526773714773,False,1.044105237167671,0.11729047679882088
2026-01-24,7.924933078305281,4.711882608362349,1.66774432607982,0.4139547240161672,False,1.0731080372047765,0.11962040547123838
2026-01-25,7.849658209404084,4.693723429526774,1.7108026787089108,0.40674880240829314,False,1.062915135129863,0.12106500411749026
