model,phi_ratio,auc_full,oh_separation,n_fact,n_hallu
llama,0.02577815232423825,0.0,-0.007582040075180818,111,111
mistral,531.4141655522958,1.0,0.026219328409724407,111,111
phi3,2.68107091113786,0.7205989773557341,0.002157176899650004,111,111
