date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2018-02-02,0.41512955643390426,2.0,0.48780487804878053,3.983047225292152e-11,0.9999999999591695,1,1.6262961110582941e-21,0.6589521054329959,0.5,1e-06,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-05,0.41517723822071645,2.0,0.48780487804878053,1.9105272919060397e-11,0.9999999999798947,1,3.8411630359319444e-22,0.6589521054329959,0.5,1e-06,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-06,0.3962952506430768,2.0,0.48780487804878053,8.73023875409308e-12,0.9999999999902698,1,8.494711433007237e-23,0.6589521054329959,0.5,1e-06,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-07,0.4266447079490558,1.0,0.9523809523809523,8.979816890026356e-12,0.9999999999900202,1,8.961672961987567e-23,0.33751205400260376,0.5,1e-06,0.2704845198240442,Nagare,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-08,0.45098626011669496,1.0,0.9523809523809523,1.70424785393462e-11,0.9999999999819575,1,3.0748817629724695e-22,0.33751205400260376,0.5,1e-06,1.0,Nagare,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-09,0.4444776962168267,2.5,0.3921568627450981,1.4748313681299537e-11,0.9999999999842517,1,2.3226074386706063e-22,0.8196721311479508,0.5,0.0010038629603403959,0.06402627782039028,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-12,0.4710841332580463,2.0,0.48780487804878053,1.2922884984237937e-11,0.9999999999860771,1,1.7992355542488155e-22,0.6589521054329959,0.5,0.000973747071530184,0.08939408198029264,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-13,0.46982056590752247,2.0,0.48780487804878053,2.0412338485924462e-11,0.9999999999785877,1,4.370754493985076e-22,0.6589521054329959,0.5,0.0009445346593842784,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-14,0.4672934312064747,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329959,0.0,0.0009161986196027501,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-15,0.47866553736118955,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329959,0.0,0.0008887126610146675,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-16,0.4822893531589185,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329959,0.0,0.0008620512811842274,1.0,Katashi,0.5049445502682441,0.7386692381876104,2.0,0
2018-02-20,0.4855555555555556,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260376,0.0,0.0008361897427487006,0.04354288026964548,Nagare,0.5049445502682441,0.7386692381876104,2.0,0
