,value
tau_Katashi_max,23.0
tau_Katashi_mean,4.848
eta_Katashi,0.48780487804878053
Xi_Katashi,0.0
nu_s,11.219512195121952
phi_integral,0.001061
phi_max,1e-06
phi_star,0.0
frac_Katashi,0.5711592836946278
frac_Nagare,0.0
frac_Utsuroi,0.4288407163053723
PR,
