date,fr_median,fr_mean,fr_std,or_median,or_mean,or_std,fr_or_corr,mean_overlap,n_edges
2007-05-11,1.0,0.6511627906976745,2.9796497447529244,0.4444444444444444,0.42984496124031,0.1580867487182864,0.94895346632566,0.34137387160642974,43
2007-05-14,1.0,0.7954545454545454,3.034495206294581,0.45138888888888895,0.44241522366522373,0.17388639720544657,0.9641600916901686,0.3495589006952643,44
2007-05-15,1.0,0.7954545454545454,3.0791051345727167,0.5,0.4437770562770563,0.18600587095028207,0.947081642518367,0.3478600944510036,44
2007-05-16,1.5,1.6818181818181819,2.35268441720137,0.4444444444444444,0.44876443001442995,0.16294556369422836,0.8658525157291879,0.38808010171646523,44
2007-05-17,2.0,1.7555555555555555,2.609006243811408,0.4642857142857143,0.4425132275132275,0.18729403177299722,0.9122666723014922,0.39364240697574027,45
2007-05-18,2.0,2.130434782608696,2.953323077868121,0.5,0.48187543133195315,0.17903549573044078,0.8985584058043063,0.4139901161640292,46
2007-05-21,1.0,1.4318181818181819,3.0629585168645455,0.44444444444444464,0.4389339826839827,0.1915415809597857,0.9030711217469637,0.37880187993824355,44
2007-05-22,1.0,0.9318181818181818,3.2150054946420408,0.44444444444444453,0.4402597402597403,0.16717976262977374,0.9528361897999855,0.3555894862713045,44
2007-05-23,1.0,0.9318181818181818,3.2150054946420408,0.44444444444444453,0.4402597402597404,0.16717976262977374,0.9528361897999855,0.3555894862713045,44
2007-05-24,1.0,1.173913043478261,3.655278183823252,0.5,0.46048136645962734,0.1759471803018251,0.9301994275608833,0.3759383128948346,46
2007-05-25,2.0,1.065217391304348,3.4916183734458293,0.5,0.46799516908212563,0.17722186173016466,0.9456096587638083,0.36609863566385314,46
2007-05-29,2.0,1.6382978723404256,3.634500942737728,0.5238095238095241,0.4906619385342791,0.18597302432453752,0.9602742528530326,0.39247336587762127,47
2007-05-30,1.5,1.565217391304348,3.173615233199071,0.47916666666666674,0.47995169082125605,0.1695591528293255,0.9599977801817697,0.38491520556737946,46
2007-05-31,2.0,1.5434782608695652,3.0195487838786548,0.5,0.4753623188405798,0.15629204608263678,0.9614630728370349,0.38284770784770783,46
2007-06-01,1.0,0.6818181818181818,2.660935646045709,0.4444444444444444,0.42913961038961046,0.13595208289937102,0.9477196432846684,0.3426524864024864,44
2007-06-04,1.0,1.1777777777777778,2.7510716206104835,0.44444444444444453,0.45453262786596116,0.15349343340420712,0.918221928853836,0.3675968475968475,45
2007-06-05,1.5,1.3181818181818181,2.3038774359043974,0.4444444444444444,0.43580857274039086,0.15021017968446304,0.9318889232571277,0.3739897097851642,44
2007-06-06,1.0,1.0909090909090908,2.4570694094071963,0.44444444444444464,0.4477272727272728,0.12258157649872956,0.9119412885819949,0.3618743630107267,44
2007-06-07,1.0,1.0909090909090908,2.4570694094071963,0.44444444444444464,0.4477272727272728,0.12258157649872956,0.913311785092266,0.3618743630107267,44
2007-06-08,1.0,1.6304347826086956,3.0098295174324345,0.45454545454545453,0.47468003011481286,0.15612759880194813,0.9745102623076817,0.39061385474428945,46
2007-06-11,1.0,2.4130434782608696,2.817461754352679,0.44399350649350666,0.48785996612083576,0.17173948316833565,0.950189411312897,0.42856829161176985,46
2007-06-12,2.0,1.8043478260869565,2.7789548020902557,0.49603174603174616,0.4800983436853002,0.14842988074639962,0.9594659573391097,0.39761699653003996,46
2007-06-13,3.0,2.276595744680851,3.0576178160322884,0.5238095238095241,0.49834515366430254,0.1608027328876793,0.9595845475000013,0.41957085467723754,47
2007-06-14,2.0,1.711111111111111,2.604459613152642,0.5,0.4690123456790124,0.15617741890220452,0.9582538205843683,0.3914399797733132,45
2007-06-15,2.0,1.4444444444444444,2.3433646802602786,0.4545454545454545,0.4448212281545615,0.15515311336258636,0.9451669537015683,0.3811991711991711,45
2007-06-18,1.5,2.0869565217391304,3.027598323226727,0.45,0.48190993788819864,0.16152727801447206,0.9735154631603472,0.41246410594236677,46
2007-06-19,1.0,1.2222222222222223,2.698879511442471,0.4285714285714286,0.44916225749559097,0.15640291788673108,0.9405003466479415,0.3727803677803679,45
2007-06-20,1.0,1.3333333333333333,2.280350850198276,0.4642857142857143,0.4628835978835979,0.13377884961848868,0.9580365650228211,0.3761102477769143,45
2007-06-21,1.0,1.2444444444444445,2.459950817535049,0.4464285714285716,0.45059082892416236,0.14400612367530846,0.9477869439574435,0.3692669676003009,45
2007-06-22,2.0,1.8043478260869565,2.541991390001764,0.4545454545454545,0.4615495012234142,0.1478089931964081,0.9411765461119881,0.3990739333130637,46
2007-06-25,3.0,2.106382978723404,3.040395009003617,0.5,0.48304319793681505,0.15119729290080416,0.9604554945783078,0.4116950425461064,47
2007-06-26,2.0,2.276595744680851,3.022624811562172,0.4545454545454546,0.47705090417856366,0.16701002497031517,0.967858655165233,0.42164277802575656,47
2007-06-27,3.0,2.3191489361702127,2.9253578284761215,0.5,0.4856590218292346,0.17164878320718863,0.9688340351679987,0.4236307427796788,47
2007-06-28,1.0,1.7608695652173914,2.8528001698460628,0.4545454545454546,0.4699392998306041,0.1491986923677172,0.9493581605046353,0.3998327759197324,46
2007-06-29,2.0,1.8936170212765957,3.040395009003617,0.5,0.4784616683552854,0.1362797258248415,0.9599550581294366,0.4064363532448638,47
2007-07-02,1.0,1.9795918367346939,2.958831787663581,0.4642857142857144,0.49087301587301585,0.14201857223171574,0.9689601516247862,0.4069053961911105,49
2007-07-03,2.5,2.25,2.6496855159307744,0.5,0.49720418470418465,0.12610243780991295,0.9577541763168431,0.4191275738150739,48
2007-07-05,2.0,1.9148936170212767,2.41299484823711,0.5,0.4810283687943263,0.12533946438922597,0.9339968991856302,0.40358412273305894,47
2007-07-06,1.0,1.6170212765957446,2.5892839023959655,0.5,0.47530395136778125,0.12070869773264449,0.9310825337046635,0.38928937492767274,47
2007-07-09,1.0,1.288888888888889,3.138451296931319,0.4444444444444444,0.45781305114638454,0.15690112038726414,0.9349110539909204,0.373713570380237,45
2007-07-10,1.0,1.3043478260869565,3.580560833028398,0.4444444444444445,0.465139751552795,0.17151699099430032,0.9591908301476396,0.38233505624809966,46
2007-07-11,2.0,1.8636363636363635,3.1736909190383957,0.5,0.47075216450216445,0.18345968086235637,0.956807384884867,0.404059261445625,44
2007-07-12,3.0,2.382978723404255,2.6461790316666804,0.5,0.48609422492401216,0.15361831565236417,0.9493547268179944,0.42841006511219265,47
2007-07-13,3.0,2.9166666666666665,3.060727945367826,0.5,0.5100611772486773,0.1716622759686483,0.9674814720088808,0.454486716986717,48
2007-07-16,2.0,1.7659574468085106,3.0191781744794484,0.4920634920634924,0.49628503883823033,0.16013215742871764,0.9462955746251458,0.4006988283584027,47
2007-07-17,3.0,2.4583333333333335,2.9718003335053016,0.5,0.4958994708994709,0.15465809190574645,0.9630515308367872,0.435473322973323,48
2007-07-18,2.0,2.1875,3.562865478328738,0.5188492063492065,0.5146246693121693,0.1733600601611407,0.9648317904596813,0.4211618820993821,48
2007-07-19,2.0,1.8125,3.351966151877631,0.5,0.5006200396825398,0.15944701935781988,0.9592267087661869,0.4059265965515966,48
2007-07-20,2.0,2.0416666666666665,3.4997519753389508,0.5277777777777779,0.5147900132275133,0.17088906760150455,0.9702050986653226,0.41467716311466307,48
2007-07-23,2.0,2.1458333333333335,3.5764832781503246,0.5277777777777779,0.5112681878306878,0.16894043638146317,0.9615166660728671,0.41956741175491175,48
2007-07-24,2.5,2.5833333333333335,3.4810997623675703,0.5,0.5069940476190476,0.1814003151102278,0.9470771953436383,0.4419167637917638,48
2007-07-25,2.0,2.5918367346938775,3.4458988777074198,0.5,0.5126660187884677,0.1764695766672955,0.9546554840140904,0.44550330621759193,49
2007-07-26,2.0,2.5918367346938775,3.4458988777074198,0.4999999999999999,0.5126660187884677,0.1764695766672955,0.9525473340700145,0.44550330621759193,49
2007-07-27,1.0,1.6808510638297873,2.961500359965086,0.44999999999999996,0.4725515028706519,0.16211922176626145,0.9545120901373232,0.4020850898510472,47
2007-07-30,2.0,2.1875,3.16001219670642,0.49999999999999994,0.493535052910053,0.16672649385894447,0.9497517921887233,0.42629135910385907,48
2007-07-31,2.0,2.4791666666666665,3.1556139348081786,0.5,0.4999751984126984,0.1633625946218998,0.9594781168346536,0.43831261331261334,48
2007-08-01,1.0,1.4893617021276595,2.5919050779303934,0.4920634920634921,0.4744765281999326,0.1313956123718071,0.9270928004211949,0.3874794826922486,47
2007-08-02,2.0,1.3043478260869565,3.0706858405234043,0.5,0.4717908902691512,0.1582554977247409,0.9318132115207154,0.3818680112158372,46
2007-08-03,2.0,1.608695652173913,3.186099297488915,0.5,0.4779244306418219,0.16937071526189743,0.9660300866576335,0.39251165501165497,46
2007-08-06,1.0,0.4444444444444444,3.0590888662080453,0.4464285714285714,0.4448412698412699,0.1544075443827946,0.9518629487332013,0.34489035655702327,45
2007-08-07,-1.0,0.045454545454545456,3.2679889941852163,0.4027777777777779,0.4193272005772007,0.1677095920773223,0.9278342433148132,0.3278915528915529,44
2007-08-08,-1.0,0.15555555555555556,3.154929515363787,0.4444444444444444,0.4287125220458553,0.15412624749748943,0.9491440723119582,0.33269014935681607,45
2007-08-09,0.0,0.35555555555555557,3.026957075315484,0.44444444444444453,0.439021164021164,0.14695966023828916,0.9183474261027615,0.34101182767849436,45
2007-08-10,2.0,1.425531914893617,3.4502215830850185,0.5,0.4971631205673759,0.16104230347919085,0.9448776326981149,0.39014071035347636,47
2007-08-13,2.0,0.8913043478260869,3.5153592238332902,0.5,0.4705486542443064,0.15932484169093442,0.9623260908251803,0.3662346107998281,46
