date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2009-02-04,0.36005709266578834,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-05,0.3666133383524688,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.0280277456667265,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-06,0.39137806637806644,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.060928761924592956,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-09,0.37611989459815554,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-10,0.36655373611895353,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-11,0.3531134324612586,2.5,0.3921568627450981,0.0,0.0,0,0.0,0.8196721311479507,0.0,1e-06,0.04625930894735131,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-12,0.31794811468724515,2.0,0.48780487804878053,0.2307840052660745,0.9386067530443047,2,0.014168579428724588,0.6589521054329958,1.0,1e-06,0.4133056226286409,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-13,0.3576730033251773,2.0,0.48780487804878053,1.4251599900089942e-11,0.9999999999847484,1,2.1735938434407972e-22,0.6589521054329958,0.5,1e-06,0.5311811812994256,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-17,0.3252493882928666,3.0,0.3278688524590164,3.478184407093447e-11,0.9999999999642182,1,1.244557751633763e-21,0.9803921568627451,0.5,1e-06,0.08934226757225516,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-18,0.3309869281554807,2.0,0.48780487804878053,5.959666093774047e-11,0.9999999999394034,1,3.611357337594475e-21,0.6589521054329958,0.5,1e-06,0.17559960668484775,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-19,0.3511055606512913,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,0.6717829298074462,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-20,0.3451891088736523,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.17582034608361274,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-23,0.36132677132916263,2.0,0.48780487804878053,4.857751977263986e-10,0.9999999995132248,1,2.3646330723521714e-19,0.6589521054329958,0.5,1e-06,0.5211359815832705,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-24,0.3495699235402603,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.3563920395568667,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-25,0.34435302783208965,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,1.0,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-26,0.33868891335961365,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.060928761924592956,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-02-27,0.33782463888761277,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.0280277456667265,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-02,0.3550946596078548,2.0,0.48780487804878053,4.4227732586365164e-11,0.9999999999547723,1,2.000319083969083e-21,0.6589521054329958,0.5,1e-06,0.8129490225504685,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-03,0.352441813098044,3.0,0.3278688524590164,3.7764236181873865e-11,0.9999999999612358,1,1.4639009352007164e-21,0.9803921568627451,0.5,1e-06,0.08934226757225516,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-04,0.3541382125248527,2.0,0.48780487804878053,2.2960855438893687e-11,0.9999999999760392,1,5.501612299976294e-22,0.6589521054329958,0.5,1e-06,0.17559960668484775,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-05,0.3419082125603865,2.0,0.48780487804878053,1.4491812184190622e-09,0.9999999985498188,1,2.1015753545024273e-18,0.6589521054329958,0.5,1e-06,1.0,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-06,0.34712340799297325,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-09,0.33982213438735176,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.0280277456667265,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-10,0.30310715854194126,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.060928761924592956,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-11,0.2911569107221281,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-12,0.3285871133697221,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.0280277456667265,Katashi,0.13059922362684664,0.9803921568627451,2.0,0
2009-03-13,0.34619957337348645,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.060928761924592956,Nagare,0.13059922362684664,0.9803921568627451,2.0,0
