date,mean_corr,curv_summary,eta,entropy,dominance,h1_count,v_raw,Oh,phi,phi_c,eta_ref,Xi_c,Oh_pre
2017-02-03,0.07157794774395564,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-06,0.04298187978029878,5.0,0.19801980198019803,4.6505266293703776e-10,0.9999999995339474,1,2.167390217305079e-19,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-07,0.04263076844104512,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-08,0.047799907602279146,5.0,0.19801980198019803,1.543509764324952e-10,0.999999999844649,1,2.3978571489450547e-20,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-09,0.0395292849443047,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-10,0.03744212309429701,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-13,0.0313756993994148,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-14,0.02848878394332938,5.0,0.19801980198019803,9.311053035351498e-10,0.9999999990678947,1,8.678881713816488e-19,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-15,0.03822237051486064,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-16,0.045810276679841916,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-17,0.03894409937888198,3.0,0.3278688524590164,0.5623351446270113,0.7499999999825192,2,0.14058378616658287,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-21,0.007207535547456505,5.0,0.19801980198019803,0.22371807607092564,0.9411764705796353,2,0.013159886829625489,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-22,0.005569015964272886,5.0,0.19801980198019803,5.0783599546458714e-11,0.9999999999482164,1,2.629756459089028e-21,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-23,0.008982598429238736,3.0,0.3278688524590164,7.105316335266191e-12,0.9999999999918947,1,5.759067937787727e-23,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-24,0.014327293260099565,3.0,0.3278688524590164,0.11690684914581458,0.9749999999886415,2,0.00292267122997325,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-27,0.02460705302602537,3.0,0.3278688524590164,1.1596057447526006e-11,0.999999999987404,1,1.4606434925002609e-22,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-02-28,0.026967301473230346,3.0,0.3278688524590164,7.630673870514419e-12,0.9999999999913693,1,6.58576887853146e-23,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-01,0.015575689133001374,3.0,0.3278688524590164,1.2128298365524459e-11,0.9999999999868717,1,1.5922365131092483e-22,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-02,0.05673374056773267,3.0,0.3278688524590164,4.6505266293703776e-10,0.9999999995339474,1,2.167390217305079e-19,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-03,0.059880522710918704,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-06,0.11998207190783518,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-07,0.15994255071072283,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.49424728569261867,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-08,0.170086340160209,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-09,0.1887262551767845,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-10,0.1888922533389105,6.0,0.1652892561983471,0.0,0.0,0,0.0,0.9803921568627451,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-13,0.18352768869924235,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-14,0.20727846122659463,5.0,0.19801980198019803,0.0,0.0,0,0.0,0.818343866473027,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-15,0.23595468057762875,4.0,0.2469135802469136,0.0,0.0,0,0.0,0.6562955760829849,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
2017-03-16,0.24234256791770295,4.0,0.2469135802469136,0.0,0.0,0,0.0,0.6562955760829849,1e-06,1e-06,0.19801980198019803,1.221980198012409,0.9803921568627451
