date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c
2013-02-04,0.516191103582408,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-05,0.510373925591317,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-06,0.5131156283330197,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-07,0.5063448146056841,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,0.02541528207371957,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-02-08,0.5096110170023214,1.0,0.9523809523809523,8.694944763800379e-11,0.9999999999120506,1,7.64715396905686e-21,0.33751205400260365,0.5,1e-06,0.329869362362872,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-02-11,0.4908959156785245,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-02-12,0.4535372357111488,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-02-13,0.43751615534224236,1.0,0.9523809523809523,2.799105391873217e-11,0.999999999971009,1,8.114895342015919e-22,0.33751205400260365,0.5,1e-06,0.329869362362872,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-02-14,0.4254765041721564,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.28197323196295754,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-15,0.4292910471171342,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-19,0.42643013990840095,2.0,0.48780487804878053,2.0626578221067216e-10,0.9999999997927342,1,4.2751834134667595e-20,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-20,0.42006462136896927,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-21,0.4326526130873957,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-22,0.4581146872451221,2.0,0.48780487804878053,1.3637979633551814e-10,0.9999999998626202,1,1.8735825629184132e-20,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-25,0.4635980927285274,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-26,0.4939952318213187,2.0,0.48780487804878053,7.145228852771397e-11,0.9999999999275477,1,5.176880243915373e-21,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-27,0.5161195809021896,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-02-28,0.5095156534286969,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-01,0.4785224920007529,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-04,0.4894416211807515,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-05,0.4998600915992221,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-06,0.4858893280632412,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-07,0.4543716669803627,2.0,0.48780487804878053,1.1291578782452596e-10,0.9999999998860842,1,1.2862888430699021e-20,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-08,0.45301273605621445,2.0,0.48780487804878053,3.8743896978764646e-11,0.9999999999602561,1,1.5398325930288278e-21,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-11,0.44640880858272164,1.0,0.9523809523809523,2.007438659723574e-11,0.9999999999789256,1,4.2305493977699953e-22,0.33751205400260365,0.5,1e-06,0.2766211461928487,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-03-12,0.4102183323922455,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.28197323196295754,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-13,0.407548152330761,2.0,0.48780487804878053,2.7738256136032318e-11,0.9999999999712618,1,7.971484959976684e-22,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-14,0.4118633540372671,2.0,0.48780487804878053,2.4963142663755177e-11,0.9999999999740369,1,6.481210820954949e-22,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-15,0.40888324236150325,2.0,0.48780487804878053,1.0191847365996808e-11,0.9999999999888082,1,1.1406537463721115e-22,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-18,0.4183003952569171,2.0,0.48780487804878053,2.4979462942216743e-11,0.9999999999740206,1,6.489524792435255e-22,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-19,0.4218526883744276,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-20,0.41527260179434095,2.0,0.48780487804878053,5.225064825112136e-11,0.9999999999467494,1,2.782379735113371e-21,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-21,0.4460273542882237,2.0,0.48780487804878053,5.349887198476058e-10,0.9999999994640113,1,2.8674790732600353e-19,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-22,0.4331771127423302,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-25,0.41412823891084766,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-26,0.42058912102390367,2.0,0.48780487804878053,3.0930369372032644e-10,0.9999999996896963,1,9.59780718153191e-20,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-27,0.3904303908651736,2.5,0.3921568627450981,6.763415381010097e-10,0.9999999993226585,1,4.58114202892252e-19,0.8196721311479507,0.5,1e-06,0.0654485545928074,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-03-28,0.35741075349771007,2.0,0.48780487804878053,2.3505419832459133e-11,0.9999999999754946,1,5.760096613593493e-22,0.6589521054329958,0.5,1e-06,0.09631038656182367,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-01,0.36554049814919376,1.0,0.9523809523809523,1.8449575200729746e-11,0.9999999999805504,1,3.5883599215525324e-22,0.33751205400260365,0.5,1e-06,0.2766211461928487,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-04-02,0.35609950436037396,3.0,0.3278688524590164,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.10018736407915407,Katashi,0.24001831732984455,0.9803921568627451,2.0
2013-04-03,0.39760649978041285,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.0021694975635901947,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-04,0.3889522554739946,2.0,0.48780487804878053,5.260269997221118e-11,0.9999999999463973,1,2.819645580752015e-21,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-05,0.34971014492753627,2.0,0.48780487804878053,2.1873725053206192e-11,0.9999999999771263,1,5.003330888777541e-22,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-08,0.35786373047242614,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-09,0.38163310119831867,2.0,0.48780487804878053,2.1233170774904096e-10,0.9999999997866683,1,4.5297081131062114e-20,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-10,0.38821318777840524,2.0,0.48780487804878053,4.2993830716851804e-11,0.9999999999560062,1,1.8914623593702566e-21,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-11,0.38485162180814364,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-12,0.4238076416337286,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-15,0.4721808143547274,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-16,0.5219129179998746,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-17,0.5508319217014869,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-18,0.5331419787941527,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-19,0.5363843402973838,1.5,0.6451612903225806,0.0,0.0,0,0.0,0.49823207971788014,0.0,1e-06,0.007302343177224335,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-04-22,0.5605113244243681,1.5,0.6451612903225806,0.0,0.0,0,0.0,0.49823207971788014,0.0,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-04-23,0.5391260430390865,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.0041814192555021945,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-24,0.5575073718551979,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-25,0.5694278185582533,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-26,0.5823972645711776,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-29,0.5944130748478575,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-04-30,0.5832078549469853,1.0,0.9523809523809523,6.179334821412827e-11,0.9999999999372067,1,3.880209864873278e-21,0.33751205400260365,0.5,1e-06,0.9400953997936558,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-01,0.6008977978543196,1.0,0.9523809523809523,3.743227949752376e-11,0.9999999999615677,1,1.4386069998394764e-21,0.33751205400260365,0.5,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-02,0.606571930484974,1.0,0.9523809523809523,4.887734661327422e-11,0.9999999999501227,1,2.4378712773772137e-21,0.33751205400260365,0.5,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-03,0.5703576134010917,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-06,0.580752242926156,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.006743713180201838,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-05-07,0.585711148754627,2.0,0.48780487804878053,1.3678191911498203e-10,0.9999999998622181,1,1.884607229133939e-20,0.6589521054329958,0.5,1e-06,0.5766728321259372,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-05-08,0.5787734487734487,2.0,0.48780487804878053,8.924416760739708e-11,0.9999999999097559,1,8.05376364567344e-21,0.6589521054329958,0.5,1e-06,1.0,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-05-09,0.6111732229123535,1.0,0.9523809523809523,3.777056445311398e-11,0.9999999999612295,1,1.4643852680384647e-21,0.33751205400260365,0.5,1e-06,0.2766211461928487,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-10,0.6428577702490746,1.0,0.9523809523809523,7.972822401954342e-11,0.9999999999192718,1,6.4363161658643424e-21,0.33751205400260365,0.5,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-13,0.6568523746784616,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329958,0.0,1e-06,0.28197323196295754,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-05-14,0.6033772507685552,1.0,0.9523809523809523,1.1983969372325074e-11,0.999999999987016,1,1.5559922618413824e-22,0.33751205400260365,0.5,1e-06,0.9400953997936558,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-15,0.5593192797540623,1.0,0.9523809523809523,1.2862155784791785e-11,0.9999999999861379,1,1.7829692268526348e-22,0.33751205400260365,0.5,1e-06,1.0,Nagare,0.24001831732984455,0.9803921568627451,2.0
2013-05-16,0.5261804379195684,2.0,0.48780487804878053,1.7139178964789302e-11,0.9999999999818608,1,3.108902554065563e-22,0.6589521054329958,0.5,1e-06,0.10013276721531872,Utsuroi,0.24001831732984455,0.9803921568627451,2.0
2013-05-17,0.4718470418470418,1.0,0.9523809523809523,1.5585088774945988e-11,0.9999999999834149,1,2.584797361310572e-22,0.33751205400260365,0.5,1e-06,0.2766211461928487,Nagare,0.24001831732984455,0.9803921568627451,2.0
