date,mean_corr,curv_summary,eta,entropy,dominance,h1_count,v_raw,Oh,phi,phi_c,eta_ref,Xi_c,Oh_pre
1985-02-01,0.22906188819486553,1.5,0.6451612903225806,0.43846465544710633,0.8407256315891035,2,0.0698361810668392,0.49823207971788014,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-04,0.21003503492768635,2.0,0.48780487804878053,1.943378791204032e-11,0.9999999999795662,1,3.971054706174352e-22,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-05,0.2350579511974159,1.0,0.9523809523809523,0.6874986068062325,0.5530939274108059,2,0.307247302278316,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-06,0.2380077053659817,2.0,0.48780487804878053,8.011258323352567e-12,0.9999999999909888,1,7.219134102434514e-23,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-07,0.2475035787185388,2.0,0.48780487804878053,4.495515071297584e-12,0.9999999999945045,1,2.470507137910073e-23,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-08,0.24557631917337686,2.0,0.48780487804878053,0.3057616093668414,0.9086014770443827,2,0.027946159472661755,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-11,0.2227236837411907,2.0,0.48780487804878053,0.8876844032926027,0.7177026940470259,4,0.25059091558597507,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-12,0.22785051733702352,1.5,0.6451612903225806,4.63162841411587e-12,0.9999999999943684,1,2.6083507721045008e-23,0.49823207971788014,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-13,0.22393829705791699,1.5,0.6451612903225806,0.27220781079325357,0.9226665972320321,2,0.021050756268661465,0.49823207971788014,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-14,0.2747451785237571,2.0,0.48780487804878053,0.47568619525342476,0.8171509879005109,2,0.0869787508714534,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-15,0.28856901401471907,1.0,0.9523809523809523,0.5822162316531174,0.7310454554210779,2,0.1565897014307204,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-19,0.29186972252368426,2.0,0.48780487804878053,0.7639185772542103,0.5878714819618596,3,0.3148326311455824,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-20,0.27719742214027376,1.0,0.9523809523809523,0.7495713066275155,0.5189851291286417,3,0.36055494526630966,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-21,0.21502406095619486,1.0,0.9523809523809523,0.37729535254216284,0.8747299338231033,2,0.04726381378119232,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-22,0.2233488948232136,2.0,0.48780487804878053,0.5776101518767505,0.7355989223229434,2,0.15272074663342114,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-25,0.2209882984667364,1.0,0.9523809523809523,1.0616713850917439,0.4191931129258385,3,0.6166260522708491,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-26,0.21525763720387414,2.0,0.48780487804878053,1.0789300828453743,0.39033147989082606,3,0.6577897069096078,0.6589521054329958,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-27,0.21797623099656038,1.0,0.9523809523809523,0.5785321755776447,0.7346957724030531,2,0.15348703198160832,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-02-28,0.21712959242066998,1.0,0.9523809523809523,0.4938400629307357,0.8046839923436734,2,0.09645486951238039,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-01,0.2152767540239945,0.0,20.0,0.731419097497172,0.5840782482728014,3,0.30421311227775044,0.016072002571568628,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-04,0.2222860810769292,1.0,0.9523809523809523,6.522482553841834e-11,0.9999999999337752,1,4.3195012493131894e-21,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-05,0.20792557182536694,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-06,0.22313643368716382,0.0,20.0,1.0017875418039978e-11,0.9999999999889821,1,1.1037548169737648e-22,0.016072002571568628,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-07,0.19085665064249482,1.0,0.9523809523809523,8.082312596927934e-12,0.9999999999909177,1,7.340591071705999e-23,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-08,0.19786693388085752,0.5,1.8181818181818181,4.0415115697665085e-11,0.9999999999585849,1,1.6737957985360815e-21,0.1767920282871665,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-11,0.19045023260452704,1.0,0.9523809523809523,1.0354384016800099e-11,0.9999999999886456,1,1.1756742332804247e-22,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
1985-03-12,0.19673667174073248,1.0,0.9523809523809523,1.354782952479054e-11,0.9999999999854522,1,1.9709121465771066e-22,0.33751205400260365,1e-06,1e-06,0.3278688524590164,1.0199999999968892,0.9803921568627451
