rscore,rscore_std,rscore_max,omega,omega_std,eta,eta_std,eta_max,xi,xi_std,delta,delta_std,delta_max
0.053837204157721474,0.008740834577588083,0.07094866913278897,0.42949569836499957,0.11611794601513184,0.5705043016350004,0.11611794601513183,0.7293356127102774,0.04179677702424275,0.021597558519455294,0.5705043016081297,0.11611794601513184,0.7293356126834067
0.03989484769657446,0.007711775757945559,0.04979672904011657,0.43051877657669213,0.12979704171557457,0.5694812234233079,0.12979704171557457,0.7603437049940229,0.031904544918053,0.018743290569997236,0.5694812233860198,0.1297970417155746,0.760343704956735
0.08928323178004786,0.011587663386333349,0.11039968576862415,0.46229159281915544,0.10567311322219589,0.5377084071808447,0.10567311322219587,0.6971881826597813,0.06867989898964727,0.031329176771114256,0.537708407164009,0.10567311322219586,0.6971881826429459
0.04194297463224413,0.006108402685257737,0.05202410161924027,0.4799839072917206,0.14889515613547313,0.5200160927082793,0.14889515613547313,0.7495715070834537,0.03578864407118078,0.0257962715055347,0.5200160926680955,0.14889515613547313,0.7495715070432697
0.06183369341025004,0.008467198444567756,0.07765732599699715,0.4421753837082136,0.10651870654768561,0.5578246162917864,0.1065187065476856,0.7463742521159612,0.045935272776933864,0.02339398855920389,0.5578246162667211,0.10651870654768561,0.7463742520908959
0.07961936984395311,0.010712977896486392,0.10172359562435934,0.47331228932382735,0.10838427979406266,0.5266877106761727,0.10838427979406266,0.706838591701425,0.060919825051673045,0.03346543676496953,0.5266877106566918,0.10838427979406264,0.7068385916819442
0.057130221959508995,0.009198609278093923,0.06914668304355878,0.4618147423328774,0.11069235589915402,0.5381852576671227,0.11069235589915402,0.7396573821114767,0.04779134055071371,0.02306737043244841,0.5381852576420574,0.11069235589915402,0.7396573820864115
0.045671785361688526,0.0067156363031589325,0.05608471154384353,0.44139939564371744,0.09810057050879846,0.5586006043562826,0.09810057050879846,0.758672516358331,0.03566363954374041,0.018953079298180672,0.5586006043228682,0.09810057050879849,0.7586725163249167
0.05870555756364383,0.008413088324777494,0.07224990720185934,0.4284209994565385,0.10121537158695824,0.5715790005434616,0.10121537158695823,0.7514472123105014,0.03806291382053996,0.01613944420753604,0.5715790005159401,0.10121537158695824,0.75144721228298
0.046335948716379485,0.006187325253030323,0.05656281392852524,0.44296565352533834,0.12931694286737255,0.5570343464746617,0.12931694286737255,0.7679903366946464,0.03391774937317903,0.01908202061032785,0.5570343464403105,0.12931694286737255,0.7679903366602954
0.050029512980872,0.008116520920238028,0.0671877050164254,0.42392596019486534,0.12109325519318297,0.5760740398051346,0.12109325519318295,0.7645837135730957,0.033330185306034724,0.01678381044647216,0.5760740397748791,0.12109325519318295,0.7645837135428404
0.04466949147502204,0.008048295751944939,0.05581779434891046,0.4409152199437609,0.1280787598985494,0.5590847800562392,0.1280787598985494,0.7584200813832682,0.03821240281892014,0.0244808270880942,0.5590847800221999,0.12807875989854944,0.7584200813492288
0.08917999886125216,0.012114020770034694,0.10970726212862057,0.5120275467669545,0.10999022010447385,0.4879724532330455,0.10999022010447383,0.6759025320997238,0.08137441613328555,0.04337855970676498,0.4879724532158524,0.10999022010447387,0.6759025320825307
0.05138589607702382,0.006905460678835925,0.06366686342254943,0.45082671485269166,0.09422628897438637,0.5491732851473083,0.09422628897438637,0.6701969845298632,0.038442453172182,0.01947052093991834,0.5491732851168935,0.0942262889743864,0.6701969844994483
0.058420027048989354,0.007439317409179545,0.06858579388228912,0.4462037332695901,0.12175403640806136,0.5537962667304099,0.12175403640806136,0.7608642102414753,0.0452720363354497,0.02220071016583479,0.5537962667038657,0.12175403640806137,0.7608642102149312
0.0385033997225743,0.005468721172068948,0.04903253811902034,0.41260914146176253,0.08274578499949492,0.5873908585382375,0.0827457849994949,0.7188217719307614,0.024707888189806418,0.014096057882375636,0.5873908584929597,0.08274578499949495,0.7188217718854836
0.040290660071232116,0.0055094028953662135,0.0515480886114695,0.40106317981276285,0.10850293850013794,0.5989368201872372,0.10850293850013794,0.763801028713829,0.02238530413027276,0.013054510161436286,0.598936820143745,0.10850293850013792,0.763801028670337
0.04122665487199365,0.006445609977260414,0.05573419718698238,0.3465330305550234,0.11447785093607697,0.6534669694449766,0.11447785093607697,0.8059488716907712,0.02089681071516323,0.013778825079727669,0.6534669694083034,0.11447785093607696,0.8059488716540979
0.053748555902913116,0.009339954745986144,0.06530433443307523,0.4457839859993216,0.1357309826176091,0.5542160140006784,0.1357309826176091,0.7807214379371415,0.03817393615033297,0.018888229811439308,0.5542160139693106,0.13573098261760913,0.7807214379057738
0.04650637602642276,0.0065182761664351165,0.05574589234464052,0.41899451792027015,0.11430403392721267,0.5810054820797299,0.11430403392721267,0.7580132539814115,0.03218247831794048,0.022010436320490982,0.5810054820439823,0.11430403392721267,0.7580132539456639
0.06815709917315105,0.011100286920567397,0.08549938873776387,0.48069216681053906,0.11181426844637424,0.5193078331894609,0.11181426844637427,0.7024339985766486,0.056518758412773526,0.024760644777079954,0.5193078331668994,0.11181426844637421,0.7024339985540871
0.0382981977531216,0.005881843145486998,0.053383630613913026,0.4074792265899234,0.09172930231617175,0.5925207734100766,0.09172930231617174,0.7539394973409458,0.025344552673279112,0.013306956216723677,0.5925207733685338,0.09172930231617178,0.7539394972994029
