rscore,rscore_std,rscore_max,omega,omega_std,eta,eta_std,eta_max,xi,xi_std,delta,delta_std,delta_max
0.05800582176260255,0.00975594264333344,0.07728909913222151,0.35586414372452907,0.1520960266811667,0.6441358562754709,0.1520960266811667,0.8401293270797079,0.03404991807757936,0.026954502725823157,0.6441358562509022,0.15209602668116673,0.840129327055139
0.04236817322041729,0.008000489435411052,0.052822645321829245,0.3614838197112505,0.10058827879221767,0.6385161802887495,0.10058827879221767,0.7721915643258074,0.024935113825042973,0.014228147329487519,0.6385161802543984,0.10058827879221767,0.7721915642914563
0.09112389985273293,0.01198932278426762,0.1150866534657517,0.3782027387049923,0.0888312365775102,0.6217972612950078,0.08883123657751021,0.7718265686356456,0.05031964964745992,0.01828534076935199,0.6217972612785312,0.08883123657751019,0.7718265686191689
0.04825940229655052,0.006643014054605187,0.05934158041397734,0.40193869854012687,0.08383398568863235,0.5980613014598731,0.08383398568863235,0.7274391179211287,0.027791273643899366,0.0130045267792792,0.5980613014256778,0.08383398568863233,0.7274391178869334
0.06399234997631086,0.008427158935233908,0.08128764043774983,0.36357553508147755,0.08737950801237562,0.6364244649185224,0.08737950801237564,0.7718649051216092,0.0329090017269439,0.01450650725731287,0.6364244648946191,0.08737950801237565,0.7718649050977063
0.08092679827876847,0.010085839128783426,0.10107993068174914,0.37446327194911044,0.10680666309889421,0.6255367280508896,0.10680666309889422,0.8671400973612303,0.04271755785703779,0.0174556492475782,0.6255367280317568,0.1068066630988942,0.8671400973420975
0.056895429587413504,0.009244583471986867,0.06890095762664959,0.38920310765710214,0.11078464500317826,0.6107968923428979,0.11078464500317826,0.7711507621044018,0.0347765201786825,0.01688541355377631,0.6107968923181634,0.11078464500317822,0.771150762079667
0.0473634063209952,0.0069687880343613316,0.05820366729575016,0.3761054623069,0.07117517737198045,0.6238945376931,0.07117517737198045,0.7516885722993409,0.02570479640548167,0.010277998984843405,0.6238945376612579,0.07117517737198042,0.7516885722674989
0.05852165312389069,0.008412513491654717,0.07234898838674704,0.3452002133120397,0.08220051176248054,0.6547997866879602,0.08220051176248054,0.7840276551338606,0.027417865072077656,0.010157445688925189,0.6547997866604388,0.08220051176248053,0.7840276551063393
0.053936736768875934,0.00628224683802794,0.0634284439621814,0.37840805394504734,0.10880723189744247,0.6215919460549526,0.10880723189744247,0.8154639778804784,0.029922304077767713,0.013470227523162612,0.6215919460258171,0.10880723189744246,0.8154639778513428
0.05379426762366708,0.008695808029449222,0.07377644750052267,0.3859196604729808,0.11519848023008838,0.6140803395270191,0.11519848023008837,0.7943290450152749,0.035704204126745694,0.01859851739654699,0.6140803394990116,0.11519848023008838,0.7943290449872672
0.0464258968943909,0.00828096510872189,0.05768864821529657,0.37909176152644847,0.09519364099542435,0.6209082384735516,0.09519364099542435,0.7784925251997974,0.027223445565749932,0.015233198102117354,0.6209082384410787,0.09519364099542432,0.7784925251673247
0.09498919749513893,0.01346831523819197,0.12075580519441009,0.40224570028176876,0.10026491895005009,0.5977542997182312,0.10026491895005009,0.7511341097955972,0.05497998295781084,0.02044843342707418,0.5977542997021157,0.1002649189500501,0.7511341097794815
0.05322899631599598,0.00692664562159048,0.06475670008481232,0.3686120907373077,0.09646323275563383,0.6313879092626923,0.09646323275563383,0.7842620907934308,0.02833948964403925,0.011764388761931234,0.6313879092335567,0.09646323275563379,0.7842620907642952
0.06297401704142672,0.007356989137253421,0.07350699065057528,0.4005303585560419,0.13878964643761285,0.599469641443958,0.13878964643761285,0.9070246427445124,0.04203020933054734,0.022761763875424706,0.5994696414193894,0.13878964643761285,0.9070246427199439
0.03874528825439069,0.005382482944314158,0.04933660332593258,0.3441379275681611,0.08347813509661568,0.6558620724318389,0.08347813509661568,0.7832426978087459,0.017195888666696475,0.006895196356773185,0.6558620723870063,0.08347813509661564,0.7832426977639131
0.04311986447822411,0.005794640766189101,0.05594650716358695,0.3349708760137864,0.10464205327100447,0.6650291239862136,0.10464205327100445,0.8389181450879679,0.020272599196202657,0.013996449433542332,0.6650291239458782,0.10464205327100451,0.8389181450476327
