layer,head,n,mean_fact,mean_hallu,abs_diff,p_value
31,19,40,0.05273043820240031,0.05407980571339738,0.0014956504064674602,2.5821346138771212e-05
29,24,40,0.04729861082152916,0.048707642711044545,0.0014810369710294992,2.962845160717966e-07
31,2,40,0.03901785735476778,0.04035837754905493,0.0014616785145299964,9.688617602083563e-07
29,29,40,0.043516767517401536,0.04488482890718039,0.0014551742002854402,1.1173523343532466e-06
30,21,40,0.05867261311871523,0.060026859540064426,0.0014301820291611077,1.0896445384787368e-06
29,18,40,0.04214530667064973,0.04352891299183081,0.0014271198728454486,3.0539347537658012e-09
30,26,40,0.035126215484012735,0.03646001755117799,0.001426029183457371,1.847251765341565e-07
29,28,40,0.03676800497452924,0.038176241675628574,0.0014088825167544966,1.013499803558573e-09
30,14,40,0.03500155765742172,0.036326510739489934,0.0013972821216790485,3.631168432068421e-08
29,0,40,0.03618319515028735,0.03752854450830761,0.0013934784147034672,2.387442702337258e-07
29,26,40,0.04958992203511653,0.050842325465106454,0.001351778172653633,5.2928892050792154e-08
29,16,40,0.035129026854924784,0.03642370647371096,0.001322983521398919,2.2238343208482555e-07
30,17,40,0.050722495819099725,0.05175965505356006,0.0012198505148672935,1.8147633873642913e-05
30,8,40,0.04981038920091023,0.05065608948766657,0.0011995428989068032,0.0016093023261734539
30,31,40,0.04014826999939523,0.04098173416121732,0.0011893019697933754,0.0011864318805719682
30,23,40,0.035395258446725884,0.03637099780864676,0.001168113824577196,7.339023277819776e-05
29,8,40,0.05063845874831798,0.05150995678363185,0.0011199352958647206,0.0005056382958120808
29,30,40,0.05273383311651314,0.053766635598171054,0.0011127724017890273,1.8079033752013372e-05
30,18,40,0.05176122260988135,0.052636838718064204,0.0011035730349989148,0.00010199476177194142
30,13,40,0.044370300624491585,0.044985083031559,0.0010576079820770953,0.008791424924996518
31,11,40,0.0345776086272012,0.03541067348571132,0.0010347431345489612,6.378878164802965e-05
29,1,40,0.044653963832634015,0.04558823801234581,0.001003924627619373,1.840988667380795e-05
29,5,40,0.032772778612758215,0.03363154900040788,0.0009966453464780628,9.751796959503788e-05
29,31,40,0.04272814090410447,0.04347677561801201,0.0009868360937150822,0.00031719139547267363
29,13,40,0.024532932897204134,0.025399125984820664,0.000985397421164962,2.178386403653943e-06
30,2,40,0.03588536362605389,0.03677298192982598,0.0009632573006469391,4.2050993000188524e-07
29,27,40,0.024587139459930723,0.025503153035033276,0.0009450183966542795,6.471165116487661e-07
30,4,40,0.04672633757683373,0.047416754460723375,0.0008984624829766117,0.00045970807326691686
29,6,40,0.037327601410771884,0.03799253561302206,0.0008539938830034429,0.00040187946160614605
30,6,40,0.030426750094564303,0.03111922425589526,0.0007829418735529411,6.419158942171532e-05
29,19,40,0.0325606423072082,0.033228202510548574,0.0007640426934490381,0.0003556566902909443
