date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2022-02-03,0.18784331610418567,0.0,20.0,0.0,0.0,0,0.0,0.01607200257156863,0.0,1e-06,1.0,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-04,0.15942680507897902,0.0,20.0,1.9203194589830362e-11,0.9999999999797968,1,3.8796545224093376e-22,0.01607200257156863,0.3333333333333333,1e-06,0.7309026083355067,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-07,0.12820440429136082,1.0,0.9523809523809523,4.364919536825899e-11,0.9999999999553508,1,1.9489004861129043e-21,0.33751205400260376,0.3333333333333333,1e-06,0.6749983902469886,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-08,0.12263388785127918,1.0,0.9523809523809523,0.5513040891862426,0.7598054404111039,2,0.13242024290164706,0.33751205400260376,0.6666666666666666,1e-06,0.272296259804784,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-09,0.12747542312759708,0.0,20.0,0.1646186635890109,0.9610419049319936,2,0.006413229546068851,0.01607200257156863,0.6666666666666666,1e-06,0.24414959461029662,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-10,0.17468039207169642,0.5,1.8181818181818181,7.031708548511636e-11,0.9999999999286829,1,5.014808041250178e-21,0.17679202828716653,0.3333333333333333,1e-06,0.7546598313197959,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-11,0.15282471152036373,0.0,20.0,1.2070866527805675e-10,0.9999999998782914,1,1.469128786909866e-20,0.01607200257156863,0.3333333333333333,1e-06,0.07592048937556994,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-14,0.1528247115203637,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260376,0.0,1e-06,0.6419010641104335,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-15,0.1457412153064327,0.0,20.0,0.6908454795121488,0.5339111674996515,2,0.32199536298396086,0.01607200257156863,0.6666666666666666,1e-06,0.08173129409267299,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-16,0.15856028029941072,1.0,0.9523809523809523,2.8502977755371856e-11,0.999999999970497,1,8.409220881560888e-22,0.33751205400260376,0.3333333333333333,1e-06,0.8210916219695501,Utsuroi,1e-06,0.9803921568627452,3.0,0
2022-02-17,0.15649712606234345,1.0,0.9523809523809523,9.976941494674571e-11,0.9999999998992306,1,1.0053703367198103e-20,0.33751205400260376,0.3333333333333333,1e-06,1.0,Utsuroi,1e-06,0.9803921568627452,3.0,0
