rscore,rscore_std,rscore_max,omega,omega_std,eta,eta_std,eta_max,xi,xi_std,delta,delta_std,delta_max
0.07159274470673317,0.011496261907909098,0.09026423573026096,0.3353581205005436,0.13187451583335205,0.6646418794994564,0.13187451583335205,0.9272548411659172,0.026914149491646402,0.013124740787300014,0.66464187947522,0.13187451583335205,0.9272548411416808
0.05448896959620632,0.00989522315168724,0.06560299992642062,0.3875624717207408,0.09669043432419946,0.6124375282792591,0.09669043432419948,0.7876328799366445,0.021754283085295544,0.01000567377409343,0.6124375282442861,0.0966904343241995,0.7876328799016715
0.10062398799428621,0.017086015538563662,0.1358650835522313,0.3819402252583203,0.14772382202644377,0.6180597747416796,0.14772382202644377,0.8271060317765095,0.051324352178660916,0.039462283145026436,0.6180597747248442,0.1477238220264438,0.8271060317596741
0.0556699012534938,0.009479382671068832,0.06781347274110944,0.3721985763428077,0.11216202792506773,0.6278014236571923,0.11216202792506771,0.8404561101290626,0.019698168102702883,0.009735501772153857,0.6278014236233089,0.11216202792506767,0.8404561100951791
0.0736370106774757,0.012116471957278984,0.09366187489185533,0.39419178359489937,0.14511255237081425,0.6058082164051006,0.14511255237081425,0.8677731387305644,0.03649447047770992,0.025015461369324577,0.6058082163810308,0.14511255237081425,0.8677731387064944
0.08952797151791181,0.014992588653012551,0.11652136159937546,0.3861913638473961,0.15614548528913605,0.6138086361526038,0.15614548528913605,0.8199341589827054,0.04828735005010913,0.044913197355670065,0.6138086361332971,0.15614548528913608,0.8199341589633983
0.0717690347184457,0.010892994819917096,0.08983222150829007,0.363760275449327,0.1506452195117912,0.636239724550673,0.1506452195117912,0.8935246401906728,0.03461158357415396,0.03323795459985122,0.6362397245262705,0.15064521951179125,0.8935246401662709
0.05740194862952477,0.008698936188684971,0.07284171958153506,0.34987884767861666,0.1039453616055086,0.6501211523213835,0.10394536160550862,0.8580022886868144,0.021203287062096537,0.01102320232797965,0.6501211522895414,0.10394536160550867,0.8580022886549727
0.06916391177004191,0.009679028348049575,0.08503565060286071,0.35344999121917536,0.1362087260066804,0.6465500087808247,0.1362087260066804,0.8630789372997767,0.027586386265456356,0.01744431472529435,0.6465500087541172,0.1362087260066804,0.8630789372730692
0.06214891996162223,0.010973264580352677,0.07812409379129669,0.3195968356860634,0.09283291022127152,0.6804031643139367,0.09283291022127152,0.864749763715274,0.019548812573224005,0.009058298121864395,0.6804031642851227,0.09283291022127152,0.86474976368646
0.06188774672340017,0.011616394100493435,0.0774938371042013,0.3719822971427664,0.09875073050481693,0.6280177028572336,0.09875073050481693,0.7830362062150171,0.02448711633047967,0.010935991819204927,0.628017702829226,0.09875073050481689,0.7830362061870093
0.056220556619434425,0.00858220438290745,0.06646197872491845,0.4240023258155476,0.10289381004080612,0.5759976741844524,0.10289381004080612,0.7649425612472041,0.027725416307325113,0.013230614570589468,0.5759976741526103,0.10289381004080614,0.764942561215362
0.10523596187537076,0.016408841579037704,0.13828009407606595,0.3935620560257115,0.1632071241924013,0.6064379439742886,0.16320712419240133,0.8613011989487336,0.05602770707624645,0.04785956958662842,0.606437943957812,0.1632071241924013,0.8613011989322571
0.06511156540317498,0.010863396229028065,0.08228174599382536,0.37857441204475156,0.139085172154648,0.6214255879552484,0.139085172154648,0.806860449621104,0.029438718462825038,0.019677424035118837,0.6214255879261128,0.13908517215464802,0.8068604495919685
0.06799292754441677,0.011655579550848094,0.08599133191603502,0.3475335174397193,0.1292099559709786,0.6524664825602807,0.1292099559709786,0.9046549635271651,0.023200438440781297,0.009808110979386345,0.6524664825345561,0.12920995597097862,0.9046549635014406
0.043977272685088865,0.008141415495384767,0.05488633143224515,0.3474414194486202,0.1693165840307875,0.6525585805513798,0.1693165840307875,0.8846211944689717,0.016858517339800427,0.012672454180477391,0.6525585805074401,0.1693165840307875,0.8846211944250321
0.05005365350054677,0.008643302030823872,0.06266537073284201,0.37220645949137965,0.14820591960317478,0.6277935405086204,0.14820591960317478,0.9282316968725366,0.017871069228793446,0.00835696626220667,0.6277935404685879,0.14820591960317478,0.9282316968325041
0.05407452829309531,0.009688219684180564,0.06990005388757332,0.34276626159268775,0.14182223080735404,0.6572337384073123,0.14182223080735404,0.8811156440114362,0.019513724245001786,0.013292961596060348,0.6572337383718742,0.1418222308073541,0.8811156439759982
0.06876810400370323,0.010949209177272557,0.08566609218325323,0.2968561668105348,0.1306371124492953,0.7031438331894652,0.1306371124492953,0.9418042907599626,0.020315911618629792,0.00862021986815796,0.7031438331622688,0.13063711244929535,0.9418042907327666
0.05357868912811387,0.009459985244528592,0.06560907390015489,0.34172503534951393,0.12039495349100188,0.658274964650486,0.12039495349100188,0.8482018162746994,0.020044733912765955,0.014984629626901651,0.6582749646148931,0.1203949534910019,0.8482018162391064
0.07939106904556668,0.01488344268380751,0.10808234519978305,0.41662307968636925,0.11646059965007372,0.5833769203136308,0.1164605996500737,0.840898382869485,0.03879426077977392,0.01910104959544519,0.5833769202922565,0.11646059965007372,0.8408983828481109
0.04782616530583647,0.008983094454228437,0.059033844471235886,0.40712121937313944,0.10474065638623141,0.5928787806268605,0.10474065638623141,0.7628757723931154,0.02015146933724316,0.009548471865125209,0.592878780587435,0.10474065638623144,0.7628757723536899
