layer,head,n,mean_fact,mean_hallu,abs_diff,p_value
30,12,40,0.0654665643263064,0.0698246424594727,0.004358078133166297,5.437042076078504e-13
31,8,40,0.07700383795757712,0.08084083450448123,0.0039120336616944,5.713594717676912e-09
31,9,40,0.06461413859105977,0.06837566824795037,0.00376152965689059,2.91396679594047e-11
31,22,40,0.06015938460467758,0.0638460947320848,0.003686710127407225,1.8133297018624572e-11
31,14,40,0.06108003390566345,0.0646767070503628,0.0035966731446993396,1.7259923346402826e-10
30,15,40,0.07649763960226982,0.07997480299179553,0.0035163709883530617,1.2491413515041878e-08
31,1,40,0.05596505589466481,0.05942946819886176,0.0034644123041969468,2.999590759820331e-11
31,25,40,0.056999711175320635,0.06023462353008489,0.0032349123547642535,1.694760913033456e-10
29,17,40,0.04184706819230475,0.04504821603439426,0.0032011478420895167,4.586818247646331e-10
31,0,40,0.05795308862685844,0.06106885399424193,0.003115765367383493,1.6383533002058566e-12
30,16,40,0.06312404343610142,0.0662187842834962,0.00309474084739477,3.90950058263778e-10
29,13,40,0.06940202725738245,0.07247205148931798,0.0030720290094730573,2.920940838335381e-10
29,28,40,0.05136102477818015,0.0542982540890304,0.00294645556329247,2.1840388971205652e-10
31,26,40,0.07115123613715649,0.0740687115371333,0.0029254081769660247,1.0651898364135112e-09
29,27,40,0.04394327855865022,0.046856971678380446,0.002913693119730229,7.786945897910476e-11
31,20,40,0.07368757801756556,0.07659709738081794,0.002909519363252378,3.852918222618448e-10
30,11,40,0.06995936906409994,0.0727598046746778,0.0028481811473647315,9.886119914000482e-10
30,18,40,0.052883438805113925,0.05571489615976631,0.002833468095201622,8.695311660626025e-11
29,31,40,0.04719292801846209,0.049997295370459265,0.002833442266931394,1.4483288202201969e-08
29,25,40,0.054409455568459685,0.05723047594920908,0.0028295869735497636,2.4717360676521415e-10
29,8,40,0.05213816405246474,0.054902609842263105,0.002764445789798371,3.538955644525303e-10
29,19,40,0.04629682013714097,0.049055413415736125,0.002758593278595165,4.064184424050096e-09
30,22,40,0.04229376190784023,0.045020614460647077,0.0027268525528068416,7.050843185788997e-11
29,16,40,0.05926821679090555,0.06198433248509807,0.002716115694192533,6.600226493757035e-10
31,12,40,0.07097652997402508,0.07334328127826095,0.0026858728614440946,1.8082322239753157e-06
29,29,40,0.04409373469622213,0.046571929023117895,0.002677755317675453,6.352386860555568e-08
31,13,40,0.05070239424948092,0.053335549801282744,0.0026331555518018116,2.2619737642512747e-10
30,19,40,0.07150296139017902,0.07410544215459132,0.0026260770984577663,3.0799723407598714e-09
30,13,40,0.04216176468649944,0.044731334654790206,0.0025738010100770535,4.423632232914008e-09
29,26,40,0.04866317599059788,0.051213188126770094,0.002555863997130077,9.7528121396249e-10
29,0,40,0.06902407771647469,0.07151758155571139,0.002544650325309368,6.1642833790429945e-09
31,27,40,0.06096186813693498,0.06345824549514023,0.002523768415367102,1.355773551945942e-08
29,14,40,0.06090997277348516,0.06343247231873658,0.0025224995452514318,2.6215443096080678e-09
29,18,40,0.039162633929002225,0.04167491574442037,0.0025122818154181535,1.394508326181607e-09
31,11,40,0.05233598386209333,0.05483817858122682,0.002502194719133481,9.226333244688513e-12
29,12,40,0.060549947456874496,0.06302889303060084,0.002478945573726344,7.300789102762043e-10
29,30,40,0.033000767262470934,0.03544453715885053,0.0024598414832957315,1.0111304710513237e-08
31,2,40,0.055140594774312955,0.05756396507577706,0.0024409893382747257,4.3134042546098e-09
31,24,40,0.049904067177287945,0.05226095566922769,0.002365595868998244,5.731863905153384e-09
30,29,40,0.06126794385577418,0.06363037336563619,0.0023633396098784445,2.3901936247436992e-09
31,10,40,0.06589943404890185,0.06823545527053383,0.002345998694200329,1.8394115613496702e-08
30,14,40,0.047806119479923484,0.05008496570701748,0.0022917247759648594,8.925968331571095e-10
30,9,40,0.06633110635193262,0.06858862328102625,0.002283175106771223,6.338892440749295e-09
