t,Xi,eta,entropy,dominance,_degenerate,Oh,phi
2026-01-10,8.184181878140771,4.72994415952075,1.6652827741587677,0.4410102181774587,False,1.0284106204401349,0.0022728496352107897
2026-01-11,8.429275261141866,4.756146327372103,1.6414067054103945,0.4641327253933251,False,1.059208645438962,0.006941355781271424
2026-01-12,8.415794639162126,4.7495858252748775,1.6711815096439586,0.4610362969780629,False,1.0575146930047996,0.01133429054821725
2026-01-13,8.653590359152936,4.788566431693884,1.5989113280006517,0.48055182153482323,False,1.0873957058629002,0.01798591830080275
2026-01-14,8.512145164850551,4.771009069052377,1.6385518399758,0.47118048321870226,False,1.069621939077571,0.023016095877984345
2026-01-15,8.712412778446248,4.805602301139409,1.5588677663044834,0.48600058549590497,False,1.0947872327891037,0.029908591624773113
2026-01-16,8.883373287027336,4.8290139724814605,1.5154931010196726,0.5024389551026053,False,1.1162698446516566,0.038312921448162444
2026-01-17,8.937962372439788,4.829552308992463,1.5354683853397488,0.5136479085102039,False,1.1231294179155675,0.04701388723796297
2026-01-18,9.731855123971515,4.911993906571164,1.4206380917256902,0.5818744134936619,False,1.222888654614147,0.06343456298995584
2026-01-19,9.69379230652196,4.908156539186784,1.420490311360528,0.577332652996938,False,1.2181057445698886,0.07897998566584825
2026-01-20,9.438284981494812,4.8874521472098795,1.4217992862170923,0.5479671260484443,False,1.1859991210159821,0.09149051577715138
2026-01-21,9.723773625438248,4.9110861034733935,1.3841894031902926,0.5691718804402599,False,1.2218731470112574,0.10649565206473742
2026-01-22,9.752909741883643,4.910143375273384,1.39526785150066,0.5734244449843398,False,1.2255343427223224,0.12134352992058109
2026-01-23,8.489318166680203,4.770002697854453,1.6201154102918731,0.4695830590132146,False,1.0667535366274916,0.12304350695316299
2026-01-24,8.371245042862132,4.749083665288642,1.6653988622181743,0.45998951878479155,False,1.0519166651684921,0.12350553495804746
2026-01-25,8.098853095429185,4.714395491240401,1.7052227683508019,0.4324905402528739,False,1.017688348174387,0.121215436763257
2026-01-26,7.907095191884944,4.689522562328786,1.7262624959314024,0.4098110444500361,False,0.9935923704096514,0.11757897366035928
2026-01-27,7.610339298660865,4.651693967722364,1.7676772317701301,0.38026703573703646,False,0.9563025206954155,0.1140516044505485
2026-01-28,7.069186936546617,4.580103545086432,1.861404683687481,0.31600302783758555,False,0.8883022190451074,0.11063005631703204
2026-01-29,7.024689060003054,4.581228125407122,1.8610322033818991,0.3064033251162951,False,0.8827106902269782,0.10731115462752108
2026-01-30,7.2828686793900035,4.611556199840438,1.8226219369300178,0.33956466614080816,False,0.9151531098251909,0.10409181998869545
2026-01-31,7.223649603281025,4.599125938447149,1.8484398071840906,0.32935971230927835,False,0.9077117396662764,0.10096906538903458
2026-02-01,7.588388429861086,4.654103962346415,1.7921404199506845,0.37977389804225925,False,0.9535442111981799,0.09793999342736354
2026-02-02,7.561107047162058,4.645248087914558,1.8003022311692254,0.3791398491348676,False,0.9501160782307407,0.09500179362454263
2026-02-03,7.59083684046385,4.6514023063870065,1.7926984426416888,0.3781868999137336,False,0.9538518743836482,0.09215173981580635
2026-02-04,7.540831827345393,4.651402472518046,1.7712401580365849,0.368548924812736,False,0.9475683279850003,0.08938718762133216
2026-02-05,7.606553732151315,4.667161694337485,1.753334071894725,0.3738581740266232,False,0.9558268327328592,0.08670557199269219
2026-02-06,7.5520293375167995,4.660575221804454,1.767273110782264,0.3658285043701088,False,0.9489753884040165,0.08410440483291141
2026-02-07,7.351298278979904,4.6325845418169695,1.804554498584249,0.34429787075398344,False,0.9237518589755099,0.08158127268792408
2026-02-08,7.229325839741318,4.60730548115049,1.8293998102126883,0.33636135745139056,False,0.9084250060558572,0.07913383450728635
2026-02-09,7.424995162326925,4.62103182320805,1.8340208372946205,0.3656401488800731,False,0.9330124862020193,0.07675981947206775
2026-02-10,7.463220799341824,4.634637366709537,1.8056448066905437,0.36389936702336406,False,0.937815855880815,0.07445702488790572
2026-02-11,7.001231136922964,4.584205497587201,1.8578181894072017,0.29704621050330404,False,0.8797630068069084,0.07222331414126855
2026-02-12,7.193192935659255,4.6252109070530985,1.7890816139210313,0.31098714515647413,False,0.903884605700803,0.0700566147170305
2026-02-13,7.19978158354167,4.600012073895841,1.8325227909721418,0.32468896476265074,False,0.9047125241852044,0.06795491627551958
2026-02-14,7.051651997967106,4.570547072910053,1.8791143662093654,0.3124926119357899,False,0.886098807961087,0.065916268787254
2026-02-15,8.399939413158416,4.746412109013329,1.6491559183013784,0.4571654624332438,False,1.0555223517965422,0.06838056886735974
2026-02-16,8.403025650522153,4.7461740177948535,1.6755471695511786,0.461758244107307,False,1.055910163227095,0.07080196485950654
2026-02-17,8.577452239629098,4.774206148945938,1.608786601034073,0.47522678745240526,False,1.0778283169772997,0.07490417127190532
2026-02-18,8.86172232401546,4.809429113522027,1.5611573889766521,0.5021276386039085,False,1.1135492208146376,0.08174098379891917
2026-02-19,8.348634257616053,4.743272209527011,1.6667776716330867,0.45313294102168844,False,1.0490754316732218,0.08321478881880934
2026-02-20,8.342042838407412,4.740692072198522,1.6719215012168775,0.4529328772352099,False,1.0482471649485974,0.08457811835013285
2026-02-21,8.154911243841285,4.718342558459138,1.7038419743029636,0.4374598649709929,False,1.024732521440281,0.08401937651485133
2026-02-22,8.105392286885875,4.7113947969322725,1.7227207825722073,0.4371495461158229,False,1.0185100520469652,0.08297959938316302
2026-02-23,8.080280111170946,4.7037981496273655,1.743245697263745,0.43486046588021926,False,1.0153544980047744,0.08171857124205008
2026-02-24,8.106128748911175,4.710824694481932,1.7295813301287088,0.4379872675580292,False,1.0186025946345623,0.08075522167555356
2026-02-25,7.152877991223801,4.591781321190188,1.85992523569745,0.3345519225160117,False,0.8988186971424154,0.07833256502528695
2026-02-26,7.334580343778394,4.6230324166992,1.8115982473186234,0.35362826637606665,False,0.9216511111708964,0.07598258807452833
2026-02-27,7.975501310964887,4.696885486761694,1.7264230120291901,0.41418511759478727,False,1.0021881690383212,0.07387816395535818
2026-02-28,7.417101950017082,4.617314386444187,1.8351792904573916,0.35640256723097624,False,0.9320206383313709,0.07166181903669742
2026-03-01,7.302585988255717,4.618912595255235,1.806153384505761,0.3426253407756535,False,0.9176307539130083,0.0695119644655965
