date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2016-02-04,0.2751835121400339,2.0,0.48780487804878053,6.7439387407535664e-12,0.9999999999922561,1,5.2224499292463865e-23,0.6589521054329959,1.0,1e-06,1.0,Katashi,0.28571483189134567,0.783670845387798,1.0,0
2016-02-05,0.2651703369094674,2.0,0.48780487804878053,1.1130429911003971e-11,0.9999999999878696,1,1.3501665369133384e-22,0.6589521054329959,1.0,1e-06,1.0,Katashi,0.28571483189134567,0.783670845387798,1.0,0
2016-02-08,0.26631469979296063,2.0,0.48780487804878053,1.3332113191108987e-11,0.9999999999856679,1,1.9107706040373722e-22,0.6589521054329959,1.0,1e-06,1.0,Katashi,0.28571483189134567,0.783670845387798,1.0,0
2016-02-09,0.2671968128489868,1.5,0.6451612903225806,1.370703550651946e-11,0.999999999985293,1,2.01589554661777e-22,0.49823207971788014,1.0,1e-06,0.1474357458144382,Nagare,0.28571483189134567,0.783670845387798,1.0,0
2016-02-10,0.26874647092038395,2.0,0.48780487804878053,1.1670997501687257e-11,0.999999999987329,1,1.4788292200446826e-22,0.6589521054329959,1.0,1e-06,0.09228365363564417,Katashi,0.28571483189134567,0.783670845387798,1.0,0
2016-02-11,0.26412133759959844,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260376,0.0,1e-06,0.2907633098994732,Nagare,0.28571483189134567,0.783670845387798,1.0,0
2016-02-12,0.26142731664470803,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329959,0.0,1e-06,0.011703727708812006,Katashi,0.28571483189134567,0.783670845387798,1.0,0
2016-02-16,0.26235711148754626,1.0,0.9523809523809523,2.55003795853572e-11,0.9999999999734996,1,6.757691744793405e-22,0.33751205400260376,1.0,1e-06,0.8935660879555586,Nagare,0.28571483189134567,0.783670845387798,1.0,0
2016-02-17,0.26447895100069013,1.0,0.9523809523809523,1.852606956712493e-11,0.999999999980474,1,3.617409133480739e-22,0.33751205400260376,1.0,1e-06,1.0,Nagare,0.28571483189134567,0.783670845387798,1.0,0
2016-02-18,0.2590909090909091,2.0,0.48780487804878053,0.0,0.0,0,0.0,0.6589521054329959,0.0,1e-06,0.26699775639152357,Katashi,0.28571483189134567,0.783670845387798,1.0,0
