date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2021-02-04,0.2309758770463297,4.0,0.2469135802469136,1.1315948178416567e-11,0.9999999999876841,1,1.3936638102763984e-22,0.8726567550101324,1.0,1e-06,1.0,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-05,0.22684803493034664,1.0,0.9523809523809523,1.430955354197449e-11,0.9999999999846905,1,2.1907255956234043e-22,0.22624434389219458,1.0,1e-06,0.6188753969676994,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-08,0.1921385578468786,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.22624434389219458,0.0,1e-06,1.0,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-09,0.20985812518797087,2.0,0.48780487804878053,5.866640506546298e-11,0.9999999999403336,1,3.50041219067305e-21,0.4417151475986048,1.0,1e-06,0.08317685049963397,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-10,0.21935416084234322,3.0,0.3278688524590164,2.4323765223889947e-11,0.9999999999746763,1,6.159687818150685e-22,0.6571859513045841,1.0,1e-06,0.19097689824037123,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-11,0.2067724037770366,1.0,0.9523809523809523,2.1753820966549412e-11,0.9999999999772462,1,4.949820663849157e-22,0.22624434389219458,1.0,1e-06,0.6362371108219085,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-12,0.2029402603498979,2.0,0.48780487804878053,4.135558562178566e-11,0.9999999999576444,1,1.751639132923015e-21,0.4417151475986048,1.0,1e-06,0.37484291620776367,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-16,0.2335164904933584,4.0,0.2469135802469136,0.0,0.0,0,0.0,0.8726567550101324,0.0,1e-06,0.3166956524798188,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-17,0.20027110885744526,4.0,0.2469135802469136,0.0,0.0,0,0.0,0.8726567550101324,0.0,1e-06,1.0,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-18,0.2329923807746152,4.5,0.21978021978021978,0.0,0.0,0,0.0,0.9803921568627451,0.0,1e-06,0.0024613580478344277,Katashi,1e-06,0.9803921568627451,1.0,0
2021-02-19,0.2120140941769932,2.0,0.48780487804878053,0.49604745282363794,0.8031194257409979,2,0.09766210737163307,0.4417151475986048,2.0,1e-06,0.33032893690172627,Utsuroi,1e-06,0.9803921568627451,1.0,0
2021-02-22,0.21478358643054873,1.0,0.9523809523809523,4.933797814616812e-11,0.999999999949662,1,2.483572974319471e-21,0.22624434389219458,1.0,1e-06,0.4150388884261943,Utsuroi,1e-06,0.9803921568627451,1.0,0
